County	State	FoodServices-97	FoodServices-2002	FoodServices-2007
Morris	 TX	21	20	21
Motley	 TX	3	4	3
Nacogdoches	 TX	87	93	108
Navarro	 TX	54	57	64
Newton	 TX	15	11	6
Nolan	 TX	35	34	39
Nueces	 TX	730	736	811
Ochiltree	 TX	20	18	19
Oldham	 TX	3	6	11
Orange	 TX	115	110	128
Palo Pinto	 TX	66	55	70
Panola	 TX	26	26	31
Parker	 TX	93	106	156
Parmer	 TX	15	14	9
Pecos	 TX	32	36	34
Polk	 TX	55	48	54
Potter	 TX	337	314	338
Presidio	 TX	15	16	27
Rains	 TX	14	18	15
Randall	 TX	143	151	171
Reagan	 TX	9	7	8
Real	 TX	6	10	13
Red River	 TX	15	12	14
Reeves	 TX	28	25	26
Refugio	 TX	23	21	16
Roberts	 TX	1	0	2
Robertson	 TX	18	19	23
Rockwall	 TX	44	75	124
Runnels	 TX	21	20	21
Rusk	 TX	45	43	55
Sabine	 TX	19	11	12
San Augustine	 TX	8	8	6
San Jacinto	 TX	9	8	9
San Patricio	 TX	109	115	135
San Saba	 TX	12	15	17
Schleicher	 TX	6	5	3
Scurry	 TX	36	30	47
Shackelford	 TX	8	4	7
Shelby	 TX	23	24	24
Sherman	 TX	9	3	3
Smith	 TX	294	297	339
Somervell	 TX	21	24	27
Starr	 TX	35	40	44
Stephens	 TX	20	18	20
Sterling	 TX	4	3	3
Stonewall	 TX	6	3	2
Sutton	 TX	11	15	18
Swisher	 TX	12	17	13
Tarrant	 TX	2330	2619	3141
Taylor	 TX	269	262	286
Terrell	 TX	2	3	2
Terry	 TX	24	25	25
Throckmorton	 TX	2	3	4
Titus	 TX	41	48	56
Tom Green	 TX	192	194	209
Travis	 TX	1643	1860	2277
Trinity	 TX	15	15	16
Tyler	 TX	17	17	21
Upshur	 TX	28	27	31
Upton	 TX	8	6	9
Uvalde	 TX	54	51	75
Val Verde	 TX	88	92	88
Van Zandt	 TX	54	57	64
Victoria	 TX	155	144	170
Walker	 TX	77	88	95
Waller	 TX	40	63	41
Ward	 TX	23	15	20
Washington	 TX	60	74	76
Webb	 TX	253	288	360
Wharton	 TX	59	65	76
Wheeler	 TX	17	17	19
Wichita	 TX	277	260	290
Wilbarger	 TX	37	30	33
Willacy	 TX	20	22	26
Williamson	 TX	287	389	636
Wilson	 TX	26	39	47
Winkler	 TX	13	8	9
Wise	 TX	53	67	93
Wood	 TX	59	57	66
Yoakum	 TX	19	17	18
Young	 TX	38	45	40
Zapata	 TX	21	21	22
Zavala	 TX	12	13	16
UTAH		3785	4106	4541
Beaver	 UT	34	29	25
Box Elder	 UT	61	60	70
Cache	 UT	112	132	135
Carbon	 UT	54	47	40
Daggett	 UT	5	4	8
Davis	 UT	269	299	368
Duchesne	 UT	30	32	30
Emery	 UT	19	25	25
Garfield	 UT	46	55	43
Grand	 UT	82	82	80
Iron	 UT	82	87	101
Juab	 UT	22	20	21
Kane	 UT	34	37	42
Millard	 UT	24	24	26
Morgan	 UT	9	11	11
Piute	 UT	3	6	7
Rich	 UT	14	13	12
Salt Lake	 UT	1572	1710	1826
San Juan	 UT	38	32	61
Sanpete	 UT	40	44	32
Sevier	 UT	43	48	45
Summit	 UT	131	139	167
Tooele	 UT	43	48	55
Uintah	 UT	52	54	64
Utah	 UT	393	473	543
Wasatch	 UT	36	42	43
Washington	 UT	195	200	279
Wayne	 UT	22	26	24
Weber	 UT	320	327	358
VERMONT		1932	1950	1942
Addison	 VT	88	82	83
Bennington	 VT	163	175	152
Caledonia	 VT	72	72	73
Chittenden	 VT	392	403	421
Essex	 VT	21	14	18
Franklin	 VT	93	105	104
Grand Isle	 VT	21	24	23
Lamoille	 VT	112	117	113
Orange	 VT	58	56	54
Orleans	 VT	68	72	68
Rutland	 VT	234	234	235
Washington	 VT	176	163	172
Windham	 VT	218	224	232
Windsor	 VT	216	209	194
VIRGINIA		12343	13305	15765
Accomack	 VA	100	94	105
Albemarle	 VA	140	142	148
Alleghany	 VA	15	17	22
Amelia	 VA	7	8	9
Amherst	 VA	44	42	40
Appomattox	 VA	19	16	15
Arlington	 VA	473	494	596
Augusta	 VA	66	64	80
Bath	 VA	16	16	17
Bedford	 VA	27	47	59
Bland	 VA	3	4	4
Botetourt	 VA	34	39	47
Brunswick	 VA	12	13	16
Buchanan	 VA	25	20	21
Buckingham	 VA	4	6	7
Campbell	 VA	55	51	57
Caroline	 VA	28	30	24
Carroll	 VA	41	42	37
Charles City	 VA	6	15	5
Charlotte	 VA	13	8	7
Chesterfield	 VA	326	350	510
Clarke	 VA	20	16	20
Craig	 VA	4	2	4
Culpeper	 VA	52	60	65
Cumberland	 VA	4	5	5
Dickenson	 VA	13	16	18
Dinwiddie	 VA	16	13	17
Essex	 VA	23	23	31
Fairfax	 VA	1523	1717	2035
Fauquier	 VA	70	83	117
Floyd	 VA	14	14	23
Fluvanna	 VA	9	11	17
Franklin	 VA	52	52	68
Frederick	 VA	72	63	103
Giles	 VA	17	19	24
Gloucester	 VA	43	54	63
Goochland	 VA	15	16	36
Grayson	 VA	14	15	14
Greene	 VA	10	14	18
Greensville	 VA	14	12	15
Halifax	 VA	61	59	62
Hanover	 VA	110	134	170
Henrico	 VA	458	480	656
Henry	 VA	73	54	70
Highland	 VA	6	5	6
Isle of Wight	 VA	34	37	48
James City	 VA	77	78	118
King and Queen	 VA	2	3	2
King George	 VA	18	29	36
King William	 VA	10	17	15
Lancaster	 VA	25	31	43
Lee	 VA	18	14	19
Loudoun	 VA	212	315	526
Louisa	 VA	20	21	22
Lunenburg	 VA	5	9	10
Madison	 VA	12	11	16
Mathews	 VA	8	12	15
Mecklenburg	 VA	66	63	76
Middlesex	 VA	22	19	23
Montgomery	 VA	150	171	187
Nelson	 VA	21	24	20
New Kent	 VA	14	10	23
Northampton	 VA	29	35	37
Northumberland	 VA	16	21	20
Nottoway	 VA	29	23	27
Orange	 VA	34	37	51
Page	 VA	49	54	57
Patrick	 VA	22	23	22
Pittsylvania	 VA	56	44	43
Powhatan	 VA	9	13	29
Prince Edward	 VA	44	44	51
Prince George	 VA	27	26	28
Prince William	 VA	364	401	568
Pulaski	 VA	54	65	70
Rappahannock	 VA	13	14	16
Richmond	 VA	11	13	11
Roanoke	 VA	89	132	128
Rockbridge	 VA	44	32	59
Rockingham	 VA	79	60	82
Russell	 VA	29	25	34
Scott	 VA	18	16	21
Shenandoah	 VA	72	77	71
Smyth	 VA	47	50	53
Southampton	 VA	13	8	9
Spotsylvania	 VA	89	103	190
Stafford	 VA	95	138	179
Surry	 VA	5	3	2
Sussex	 VA	14	17	14
Tazewell	 VA	66	65	59
Warren	 VA	61	66	67
Washington	 VA	84	93	91
Westmoreland	 VA	37	38	35
Wise	 VA	49	55	58
Wythe	 VA	65	72	76
York	 VA	93	111	134
Alexandria	 VA	310	342	355
Bedford	 VA	24	25	26
Bristol	 VA	52	64	82
Buena Vista	 VA	11	13	13
Charlottesville	 VA	179	203	261
Chesapeake	 VA	305	322	431
Clifton Forge	 VA	12	0	0
Colonial Heights	 VA	63	57	81
Covington	 VA	16	23	21
Danville	 VA	114	123	140
Emporia	 VA	24	24	25
Fairfax	 VA	150	151	150
Falls Church	 VA	68	89	101
Franklin	 VA	18	32	27
Fredericksburg	 VA	141	147	178
Galax	 VA	28	34	38
Hampton	 VA	229	231	233
Harrisonburg	 VA	109	150	175
Hopewell	 VA	46	48	56
Lexington	 VA	57	76	52
Lynchburg	 VA	173	174	234
Manassas	 VA	74	94	101
Manassas Park	 VA	5	10	14
Martinsville	 VA	46	53	51
Newport News	 VA	312	306	384
Norfolk	 VA	539	530	551
Norton	 VA	23	22	25
Petersburg	 VA	83	61	70
Poquoson	 VA	20	18	19
Portsmouth	 VA	137	157	169
Radford	 VA	34	43	39
Richmond	 VA	551	601	547
Roanoke	 VA	325	287	294
Salem	 VA	86	85	87
South Boston	 VA	0	0	0
Staunton	 VA	72	81	85
Suffolk	 VA	62	71	121
Virginia Beach	 VA	888	959	1134
Waynesboro	 VA	51	50	64
Williamsburg	 VA	140	140	134
Winchester	 VA	99	116	123
WASHINGTON		13124	13699	15893
Adams	 WA	37	38	29
Asotin	 WA	40	37	39
Benton	 WA	256	289	338
Chelan	 WA	240	235	271
Clallam	 WA	214	215	227
Clark	 WA	506	605	701
Columbia	 WA	12	11	13
Cowlitz	 WA	214	219	215
Douglas	 WA	46	59	56
Ferry	 WA	21	14	13
Franklin	 WA	87	92	109
Garfield	 WA	3	6	3
Grant	 WA	170	174	187
Grays Harbor	 WA	238	226	238
Island	 WA	123	148	176
Jefferson	 WA	99	96	114
King	 WA	4462	4685	5516
Kitsap	 WA	400	434	505
Kittitas	 WA	125	143	160
Klickitat	 WA	48	52	51
Lewis	 WA	196	177	192
Lincoln	 WA	33	28	24
Mason	 WA	98	100	111
Okanogan	 WA	122	119	128
Pacific	 WA	110	105	114
Pend Oreille	 WA	27	26	32
Pierce	 WA	1220	1244	1578
San Juan	 WA	99	94	97
Skagit	 WA	278	295	347
Skamania	 WA	17	19	24
Snohomish	 WA	1112	1219	1521
Spokane	 WA	906	908	993
Stevens	 WA	82	88	89
Thurston	 WA	406	399	497
Wahkiakum	 WA	13	8	12
Walla Walla	 WA	113	116	120
Whatcom	 WA	430	451	505
Whitman	 WA	110	121	121
Yakima	 WA	411	404	427
WEST VIRGINIA		3290	3310	3650
Barbour	 WV	22	16	25
Berkeley	 WV	129	141	179
Boone	 WV	22	24	24
Braxton	 WV	32	33	37
Brooke	 WV	58	59	58
Cabell	 WV	253	254	279
Calhoun	 WV	5	7	7
Clay	 WV	7	5	7
Doddridge	 WV	4	5	2
Fayette	 WV	65	71	69
Gilmer	 WV	11	10	13
Grant	 WV	21	21	20
Greenbrier	 WV	78	74	85
Hampshire	 WV	32	32	41
Hancock	 WV	84	69	93
Hardy	 WV	21	24	27
Harrison	 WV	151	150	162
Jackson	 WV	36	41	49
Jefferson	 WV	82	93	112
Kanawha	 WV	420	427	480
Lewis	 WV	30	31	34
Lincoln	 WV	11	14	13
Logan	 WV	63	66	67
McDowell	 WV	17	14	19
Marion	 WV	96	114	111
Marshall	 WV	61	61	57
Mason	 WV	30	28	29
Mercer	 WV	100	102	108
Mineral	 WV	48	48	53
Mingo	 WV	42	36	38
Monongalia	 WV	207	199	229
Monroe	 WV	13	19	14
Morgan	 WV	20	22	25
Nicholas	 WV	45	51	51
Ohio	 WV	148	126	131
Pendleton	 WV	11	12	12
Pleasants	 WV	11	9	11
Pocahontas	 WV	29	24	23
Preston	 WV	30	37	37
Putnam	 WV	67	71	87
Raleigh	 WV	140	136	151
Randolph	 WV	62	62	61
Ritchie	 WV	10	13	17
Roane	 WV	14	10	9
Summers	 WV	18	23	20
Taylor	 WV	15	19	18
Tucker	 WV	28	30	30
Tyler	 WV	15	11	8
Upshur	 WV	42	43	50
Wayne	 WV	49	41	50
Webster	 WV	12	12	12
Wetzel	 WV	42	43	46
Wirt	 WV	4	6	5
Wood	 WV	198	198	228
Wyoming	 WV	29	23	27
WISCONSIN		13253	13268	14439
Adams	 WI	42	35	60
Ashland	 WI	73	80	78
Barron	 WI	146	137	139
Bayfield	 WI	92	94	111
Brown	 WI	533	556	613
Buffalo	 WI	45	44	44
Burnett	 WI	66	74	69
Calumet	 WI	75	73	86
Chippewa	 WI	132	130	158
Clark	 WI	66	61	64
Columbia	 WI	190	206	194
Crawford	 WI	54	54	49
Dane	 WI	993	1047	1204
Dodge	 WI	165	145	179
Door	 WI	243	243	250
Douglas	 WI	178	178	167
Dunn	 WI	107	79	98
Eau Claire	 WI	247	247	260
Florence	 WI	16	20	27
Fond du Lac	 WI	227	222	242
Forest	 WI	35	39	39
Grant	 WI	139	148	139
Green	 WI	92	82	89
Green Lake	 WI	62	61	58
Iowa	 WI	52	46	61
Iron	 WI	53	45	57
Jackson	 WI	52	52	59
Jefferson	 WI	187	192	204
Juneau	 WI	86	69	81
Kenosha	 WI	340	323	362
Kewaunee	 WI	53	52	51
La Crosse	 WI	300	294	313
Lafayette	 WI	36	38	37
Langlade	 WI	75	73	69
Lincoln	 WI	98	101	97
Manitowoc	 WI	179	185	177
Marathon	 WI	276	273	321
Marinette	 WI	140	145	153
Marquette	 WI	59	61	48
Menominee	 WI	9	2	1
Milwaukee	 WI	1839	1778	1913
Monroe	 WI	110	110	116
Oconto	 WI	107	99	105
Oneida	 WI	209	178	200
Outagamie	 WI	361	383	438
Ozaukee	 WI	182	178	203
Pepin	 WI	26	28	29
Pierce	 WI	102	104	92
Polk	 WI	118	120	129
Portage	 WI	202	177	187
Price	 WI	42	48	45
Racine	 WI	360	349	388
Richland	 WI	32	35	38
Rock	 WI	343	353	383
Rusk	 WI	42	29	26
St. Croix	 WI	142	170	198
Sauk	 WI	241	235	258
Sawyer	 WI	109	114	128
Shawano	 WI	109	108	120
Sheboygan	 WI	237	250	271
Taylor	 WI	39	49	44
Trempealeau	 WI	85	83	80
Vernon	 WI	66	56	60
Vilas	 WI	188	217	231
Walworth	 WI	276	270	293
Washburn	 WI	80	89	88
Washington	 WI	217	223	259
Waukesha	 WI	635	691	819
Waupaca	 WI	139	141	145
Waushara	 WI	70	62	75
Winnebago	 WI	341	352	377
Wood	 WI	191	183	193
WYOMING		1751	1742	1768
Albany	 WY	104	101	105
Big Horn	 WY	32	37	28
Campbell	 WY	77	82	79
Carbon	 WY	85	85	80
Converse	 WY	45	41	36
Crook	 WY	27	26	31
Fremont	 WY	152	139	133
Goshen	 WY	35	35	31
Hot Springs	 WY	31	25	24
Johnson	 WY	35	43	43
Laramie	 WY	183	177	185
Lincoln	 WY	53	63	61
Natrona	 WY	172	177	185
Niobrara	 WY	18	13	13
Park	 WY	130	133	157
Platte	 WY	40	40	34
Sheridan	 WY	88	95	96
Sublette	 WY	46	41	46
Sweetwater	 WY	109	100	108
Teton	 WY	180	175	180
Uinta	 WY	50	52	51
Washakie	 WY	35	34	33
Weston	 WY	24	28	29
